epoch,iso,label,temp_c,cpu_pct,rss_kb,mem_avail_kb,throttled,freq_khz,fps,persons,infer_ms
1780674556,2026-06-05T15:49:16Z,idle,62.30,0,17360,614848,0xd0008,1300000,0,0,0
1780674587,2026-06-05T15:49:47Z,idle,60.69,1.39,17488,619880,0xd0008,900000,0,0,0
1780674617,2026-06-05T15:50:17Z,idle,60.69,1.24,17516,619656,0xd0008,1100000,0,0,0
1780674647,2026-06-05T15:50:47Z,idle,60.15,1.19,17548,620964,0xd0008,1300000,0,0,0
1780674678,2026-06-05T15:51:18Z,idle,60.15,1.14,17564,620728,0xd0005,1300000,0,0,0
1780674709,2026-06-05T15:51:49Z,idle,60.15,1.43,17572,620004,0xd0000,1100000,0,0,0
1780674739,2026-06-05T15:52:20Z,idle,59.07,1.44,17588,620072,0xd0005,1000000,0,0,0
1780674770,2026-06-05T15:52:50Z,idle,59.61,1.75,17588,620172,0xd0000,900000,0,0,0
1780674801,2026-06-05T15:53:21Z,idle,59.07,1.84,17588,620052,0xd0000,1300000,0,0,0
1780674832,2026-06-05T15:53:52Z,idle,59.07,1.44,17540,619624,0xd0005,1100000,0,0,0
1780674898,2026-06-05T15:54:58Z,stream_only,61.76,0,17364,518580,0xd0008,1100000,6.00,0,0.0
1780674929,2026-06-05T15:55:29Z,stream_only,60.15,8.13,17492,528272,0xd0005,1000000,6.82,0,0.0
1780674960,2026-06-05T15:56:00Z,stream_only,60.69,8.55,17516,529000,0xd0008,1100000,6.41,0,0.0
1780674990,2026-06-05T15:56:30Z,stream_only,60.15,8.01,17524,528820,0xd0008,1100000,6.54,0,0.0
1780675021,2026-06-05T15:57:01Z,stream_only,60.69,8.12,17524,528748,0xd0008,1000000,6.81,0,0.0
1780675052,2026-06-05T15:57:32Z,stream_only,60.69,8.37,17524,535420,0xd0005,1300000,5.57,0,0.0
1780675082,2026-06-05T15:58:02Z,stream_only,60.15,8.19,17532,534736,0xd0000,1300000,6.03,0,0.0
1780675113,2026-06-05T15:58:33Z,stream_only,60.69,7.82,17532,534020,0xd0008,1300000,5.96,0,0.0
1780675143,2026-06-05T15:59:03Z,stream_only,60.15,8.11,17532,532580,0xd0008,1400000,6.22,0,0.0
1780675174,2026-06-05T15:59:34Z,stream_only,60.15,7.80,17532,533572,0xd0008,1100000,6.29,0,0.0
1780675234,2026-06-05T16:00:34Z,stream_detect,63.91,0,17504,539560,0xd0008,1400000,6.23,0,1358.1
1780675265,2026-06-05T16:01:05Z,stream_detect,61.22,28.99,17504,539852,0xd0008,1100000,6.73,0,1213.8
1780675296,2026-06-05T16:01:36Z,stream_detect,61.76,29.10,17504,539888,0xd0005,1300000,6.49,0,1162.1
1780675327,2026-06-05T16:02:07Z,stream_detect,62.30,29.40,17508,539316,0xd0005,1400000,6.75,0,1226.6
1780675359,2026-06-05T16:02:39Z,stream_detect,62.84,29.57,17508,538748,0xd0005,1400000,6.31,0,1132.3
1780675390,2026-06-05T16:03:10Z,stream_detect,62.30,29.10,17508,539864,0xd0005,1400000,6.45,0,1195.2
1780675421,2026-06-05T16:03:41Z,stream_detect,62.30,30.13,17508,539124,0xd0005,1400000,6.16,0,1220.8
1780675452,2026-06-05T16:04:12Z,stream_detect,62.30,28.48,17508,538900,0xd0005,1400000,6.21,0,1357.2
1780675483,2026-06-05T16:04:43Z,stream_detect,62.84,28.43,17508,538408,0xd0005,1400000,6.47,0,1037.2
1780675514,2026-06-05T16:05:14Z,stream_detect,62.84,30.37,17508,538332,0xd0005,1400000,6.48,0,1291.8
