epoch,iso,label,temp_c,cpu_pct,rss_kb,mem_avail_kb,throttled,freq_khz,fps,persons,infer_ms
1780674217,2026-06-05T15:43:37Z,stream_detect,63.38,0,20464,517008,0xd0005,1400000,5.85,0,1229.8
1780674223,2026-06-05T15:43:43Z,stream_detect,63.38,31.08,20472,519232,0xd0005,1400000,5.68,0,1294.0
1780674228,2026-06-05T15:43:48Z,stream_detect,62.30,37.41,20476,520172,0xd0008,1100000,5.73,0,1046.4
1780674234,2026-06-05T15:43:54Z,stream_detect,62.30,34.07,20476,521420,0xd0000,1300000,5.74,0,1232.8
1780674240,2026-06-05T15:44:00Z,stream_detect,62.30,33.44,20476,519864,0xd0005,1400000,6.03,0,1089.1
1780674246,2026-06-05T15:44:06Z,stream_detect,62.30,24.56,20476,519868,0xd0005,1400000,6.49,0,734.0
1780674252,2026-06-05T15:44:12Z,stream_detect,62.30,31.81,20476,519112,0xd0005,1400000,5.61,0,1058.4
1780674258,2026-06-05T15:44:18Z,stream_detect,62.30,31.34,20476,520540,0xd0005,1400000,6.43,0,1215.5
1780674264,2026-06-05T15:44:24Z,stream_detect,62.30,32.40,20476,518868,0xd0005,1400000,5.77,0,1200.1
1780674269,2026-06-05T15:44:29Z,stream_detect,61.22,18.61,20476,518468,0xd0000,1100000,0.00,0,0.0
1780674275,2026-06-05T15:44:35Z,stream_detect,61.22,11.86,20476,510356,0xd0008,1300000,0.00,0,0.0
1780674280,2026-06-05T15:44:40Z,stream_detect,61.76,15.27,20476,513940,0xd0000,1000000,5.78,0,885.2
1780674286,2026-06-05T15:44:46Z,stream_detect,62.30,31.78,20476,514616,0xd0008,1000000,6.53,0,1074.6
1780674292,2026-06-05T15:44:52Z,stream_detect,62.30,27.29,20476,515324,0xd0005,1400000,6.57,0,1039.1
1780674298,2026-06-05T15:44:58Z,stream_detect,62.84,29.19,20476,516520,0xd0005,1400000,6.44,0,1049.4
1780674304,2026-06-05T15:45:04Z,stream_detect,62.30,32.05,20476,516044,0xd0005,1400000,6.55,0,1244.4
1780674310,2026-06-05T15:45:10Z,stream_detect,62.84,34.56,20476,515740,0xd0005,1400000,6.69,0,1126.8
1780674316,2026-06-05T15:45:16Z,stream_detect,62.84,31.68,20476,515244,0xd0005,1400000,6.53,0,1151.0
1780674322,2026-06-05T15:45:22Z,stream_detect,62.30,31.25,20476,515004,0xd0005,1400000,6.07,0,1077.5
1780674328,2026-06-05T15:45:28Z,stream_detect,62.84,36.10,20476,515520,0xd0005,1400000,6.62,0,1258.5
1780674335,2026-06-05T15:45:35Z,stream_detect,62.84,34.79,20476,516440,0xd0005,1400000,6.41,0,1210.1
1780674341,2026-06-05T15:45:41Z,stream_detect,62.84,34.22,20476,515524,0xd0005,1400000,6.42,0,1141.4
1780674347,2026-06-05T15:45:47Z,stream_detect,62.84,30.20,20476,517112,0xd0005,1400000,6.41,0,966.7
1780674353,2026-06-05T15:45:53Z,stream_detect,62.84,32.43,20480,517120,0xd0005,1400000,6.20,0,1186.3
1780674359,2026-06-05T15:45:59Z,stream_detect,62.30,30.01,20480,516876,0xd0005,1400000,6.37,0,969.8
1780674365,2026-06-05T15:46:05Z,stream_detect,62.30,34.78,20480,517684,0xd0000,1200000,6.62,0,1210.1
1780674370,2026-06-05T15:46:10Z,stream_detect,62.84,33.96,20480,517680,0xd0000,1200000,6.70,0,1241.8
1780674376,2026-06-05T15:46:16Z,stream_detect,63.38,25.24,20480,518520,0xd0008,1300000,6.61,0,899.9
