epoch,condition,ground_truth,persons,max_conf,fps,infer_ms
1786050425,artificial,present,1,0.99,6.51,1354.5
1786050431,artificial,present,1,0.99,6.90,1226.6
1786050437,artificial,present,1,0.99,6.64,1424.0
1786050443,artificial,present,1,0.99,6.74,1453.3
1786050449,artificial,present,1,0.98,6.83,1403.6
1786050455,artificial,present,1,0.99,6.90,1373.0
1786050461,artificial,present,1,0.98,7.26,1429.7
1786050468,artificial,present,1,0.95,6.64,1307.1
1786050474,artificial,present,1,0.97,6.59,1365.7
1786050480,artificial,present,1,0.93,6.76,1387.6
1786050487,artificial,present,1,0.95,6.89,1398.3
1786050493,artificial,present,1,0.95,7.15,1331.4
1786050499,artificial,present,1,0.99,6.83,1332.2
1786050506,artificial,present,1,0.97,6.59,1461.6
1786050512,artificial,present,1,0.97,6.36,1378.0
1786050518,artificial,present,1,0.97,6.48,1301.9
1786050524,artificial,present,1,0.94,6.87,1313.5
1786050531,artificial,present,1,0.99,6.71,1319.7
1786050537,artificial,present,1,0.97,6.82,1389.3
1786050543,artificial,present,1,0.98,6.76,1417.9
1786050678,backlight,present,1,0.97,7.57,1378.8
1786050684,backlight,present,1,0.90,7.51,1358.3
1786050690,backlight,present,1,0.95,7.47,1244.3
1786050696,backlight,present,1,0.93,7.48,1290.0
1786050701,backlight,present,1,0.93,7.55,1086.9
1786050707,backlight,present,1,0.92,7.48,1219.9
1786050713,backlight,present,1,0.93,7.49,991.8
1786050718,backlight,present,1,0.93,7.50,1258.4
1786050724,backlight,present,1,0.89,7.49,1398.6
1786050730,backlight,present,1,0.95,7.51,1377.6
1786050736,backlight,present,1,0.79,7.50,658.9
1786050741,backlight,present,1,0.93,7.50,1236.1
1786050747,backlight,present,1,0.79,7.49,1389.3
1786050753,backlight,present,1,0.89,7.45,1355.1
1786050759,backlight,present,1,0.98,7.49,1278.3
1786050765,backlight,present,1,0.93,7.50,1347.2
1786050771,backlight,present,1,0.94,7.36,1072.8
1786050777,backlight,present,1,0.90,7.50,1277.2
1786050783,backlight,present,1,0.82,7.48,1226.2
1786050788,backlight,present,1,0.87,7.49,1265.5
1786050934,lowlight,present,0,0,7.49,1244.9
1786050940,lowlight,present,0,0,7.51,1193.8
1786050946,lowlight,present,1,0.82,7.51,1252.1
1786050951,lowlight,present,0,0,7.48,1396.5
1786050957,lowlight,present,1,0.77,7.54,1442.4
1786050963,lowlight,present,0,0,7.40,1378.5
1786050969,lowlight,present,0,0,7.48,1359.3
1786050975,lowlight,present,0,0,7.46,1258.7
1786050981,lowlight,present,0,0,7.50,1067.8
1786050987,lowlight,present,0,0,7.44,1249.9
1786050993,lowlight,present,1,0.98,6.38,1316.3
1786051000,lowlight,present,0,0,7.48,1402.9
1786051006,lowlight,present,0,0,7.48,1356.1
1786051011,lowlight,present,1,0.68,7.49,1356.3
1786051017,lowlight,present,0,0,7.51,1454.5
1786051023,lowlight,present,1,0.57,7.51,1360.3
1786051029,lowlight,present,1,0.73,7.49,1307.1
1786051035,lowlight,present,0,0,7.48,1304.7
1786051041,lowlight,present,0,0,7.53,1264.5
1786051047,lowlight,present,0,0,7.60,1285.5
1786051181,daylight,present,1,0.99,6.83,1444.5
1786051187,daylight,present,1,0.98,6.69,1289.8
1786051193,daylight,present,1,0.98,6.94,1416.1
1786051200,daylight,present,1,0.98,6.32,1310.4
1786051206,daylight,present,1,0.99,6.52,1383.3
1786051212,daylight,present,1,0.98,6.68,1357.0
1786051218,daylight,present,1,0.99,6.98,1438.0
1786051224,daylight,present,1,0.99,6.89,1319.1
1786051230,daylight,present,1,0.97,6.49,1347.6
1786051236,daylight,present,1,0.99,6.97,1233.3
1786051242,daylight,present,1,0.98,7.02,1391.1
1786051249,daylight,present,1,0.98,7.04,1260.4
1786051255,daylight,present,1,0.98,7.08,1268.0
1786051261,daylight,present,1,0.99,6.49,1287.8
1786051267,daylight,present,1,0.97,7.04,1410.0
1786051273,daylight,present,1,0.98,6.83,1247.2
1786051279,daylight,present,1,0.97,6.74,1274.4
1786051285,daylight,present,1,0.98,7.05,1427.3
1786051291,daylight,present,1,0.96,7.09,1415.9
1786051298,daylight,present,1,0.98,6.89,1318.4
