epoch,trial,persons,max_conf
1786051432,empty,2,0.97
1786051438,empty,2,0.93
1786051444,empty,1,0.89
1786051451,empty,1,0.99
1786051457,empty,1,0.96
1786051463,empty,1,0.99
1786051470,empty,1,0.99
1786051476,empty,1,0.95
1786051482,empty,1,0.99
1786051489,empty,1,0.97
1786051653,empty,1,0.99
1786051659,empty,1,0.97
1786051666,empty,1,0.51
1786051689,empty,2,0.85
1786051695,empty,2,0.72
1786051701,empty,1,0.59
1786051708,empty,1,0.94
1786051714,empty,2,0.99
1786051720,empty,2,0.99
1786051727,empty,2,0.95
1786051733,empty,1,0.99
1786051739,empty,2,0.96
1786051746,empty,2,0.95
1786051850,empty,0,0
1786051856,empty,0,0
1786051862,empty,0,0
1786051868,empty,0,0
1786051874,empty,0,0
1786051880,empty,0,0
1786051886,empty,0,0
1786051892,empty,0,0
1786051898,empty,0,0
1786051904,empty,0,0
1786052123,real,1,1.00
1786052129,real,1,1.00
1786052136,real,1,1.00
1786052142,real,1,1.00
1786052148,real,1,1.00
1786052155,real,1,1.00
1786052161,real,1,0.98
1786052167,real,1,1.00
1786052174,real,1,1.00
1786052180,real,1,1.00
1786052327,screen,1,0.95
1786052334,screen,2,0.92
1786052340,screen,1,0.93
1786052346,screen,1,0.90
1786052353,screen,2,0.82
1786052359,screen,2,0.90
1786052365,screen,2,0.91
1786052372,screen,2,0.87
1786052378,screen,2,0.92
1786052384,screen,2,0.88
