n,recv_epoch,msg_epoch,persons,raw_delta_s,corrected_delta_s
1,1786056313.826903,1780687245.760000,1,5369068.0669,1.4720
2,1786056331.656134,1780687263.500000,1,5369068.1561,1.5613
3,1786056346.968184,1780687278.876000,1,5369068.0922,1.4973
4,1786056363.778203,1780687295.625000,1,5369068.1532,1.5583
5,1786056373.321716,1780687305.219000,1,5369068.1027,1.5079
6,1786056383.110196,1780687314.958000,1,5369068.1522,1.5573
7,1786056391.142317,1780687323.044000,1,5369068.0983,1.5035
8,1786056399.674510,1780687331.615000,1,5369068.0595,1.4647
9,1786056407.961058,1780687339.845000,1,5369068.1161,1.5212
10,1786056414.740640,1780687346.622000,1,5369068.1186,1.5238
