epoch,iso,temp_c,thermal_level,target_fps,target_width,target_net_input,throttled
1785140136,2026-07-27T08:15:36Z,63.38,0,10,640,300,0xd0005
1785140148,2026-07-27T08:15:48Z,64.45,0,10,640,300,0xd0005
1785140167,2026-07-27T08:16:07Z,64.45,0,10,640,300,0xd0005
1785140179,2026-07-27T08:16:19Z,65.53,0,10,640,300,0xd0005
1785140192,2026-07-27T08:16:32Z,65.53,0,10,640,300,0xd0005
1785140204,2026-07-27T08:16:44Z,66.07,0,10,640,300,0xd0005
1785140217,2026-07-27T08:16:57Z,66.60,0,10,640,300,0xd0005
1785140229,2026-07-27T08:17:09Z,66.60,0,10,640,300,0xd0005
1785140242,2026-07-27T08:17:22Z,66.60,0,10,640,300,0xd0005
1785140255,2026-07-27T08:17:35Z,67.14,0,10,640,300,0xd0005
1785140268,2026-07-27T08:17:48Z,67.14,0,10,640,300,0xd0005
1785140281,2026-07-27T08:18:01Z,67.14,0,10,640,300,0xd0005
1785140293,2026-07-27T08:18:13Z,67.14,0,10,640,300,0xd0005
1785140306,2026-07-27T08:18:26Z,67.68,0,10,640,300,0xd0005
1785140318,2026-07-27T08:18:38Z,67.14,0,10,640,300,0xd0005
1785140331,2026-07-27T08:18:51Z,67.68,0,10,640,300,0xd0005
1785140344,2026-07-27T08:19:04Z,67.14,0,10,640,300,0xd0005
1785140357,2026-07-27T08:19:17Z,67.68,0,10,640,300,0xd0005
1785140370,2026-07-27T08:19:30Z,68.76,0,10,640,300,0xd0005
1785140383,2026-07-27T08:19:43Z,68.76,0,10,640,300,0xd0005
1785140396,2026-07-27T08:19:56Z,68.22,0,10,640,300,0xd0005
1785140409,2026-07-27T08:20:09Z,67.68,0,10,640,300,0xd0005
1785140422,2026-07-27T08:20:22Z,68.22,0,10,640,300,0xd0005
1785140433,2026-07-27T08:20:34Z,67.68,0,10,640,300,0xd0005
1785140445,2026-07-27T08:20:45Z,65.53,0,10,640,300,0xd0005
1785140456,2026-07-27T08:20:56Z,65.53,0,10,640,300,0xd0005
1785140467,2026-07-27T08:21:07Z,65.53,0,10,640,300,0xd0005
1785140483,2026-07-27T08:21:23Z,65.53,0,10,640,300,0xd0005
1785140494,2026-07-27T08:21:34Z,64.45,0,10,640,300,0xd0005
1785140505,2026-07-27T08:21:45Z,64.45,0,10,640,300,0xd0005
1785140516,2026-07-27T08:21:56Z,63.91,0,10,640,300,0xd0005
1785140527,2026-07-27T08:22:07Z,64.45,0,10,640,300,0xd0005
1785140537,2026-07-27T08:22:17Z,63.38,0,10,640,300,0xd0005
1785140553,2026-07-27T08:22:33Z,64.45,0,10,640,300,0xd0005
1785140564,2026-07-27T08:22:44Z,63.38,0,10,640,300,0xd0005
1785140575,2026-07-27T08:22:55Z,63.38,0,10,640,300,0xd0005
1785140604,2026-07-27T08:23:24Z,65.53,0,10,,300,phaseB
1785140619,2026-07-27T08:23:39Z,66.60,0,10,,300,phaseB
1785140628,2026-07-27T08:23:48Z,67.14,0,10,,300,phaseB
1785140636,2026-07-27T08:23:56Z,66.60,1,5,,256,phaseB
1785140645,2026-07-27T08:24:05Z,67.14,1,5,,256,phaseB
1785140654,2026-07-27T08:24:14Z,66.60,1,5,,256,phaseB
1785140662,2026-07-27T08:24:22Z,66.60,2,3,,224,phaseB
1785140671,2026-07-27T08:24:31Z,67.14,3,2,,192,phaseB
1785140680,2026-07-27T08:24:40Z,67.14,3,2,,192,phaseB
1785140688,2026-07-27T08:24:48Z,67.14,3,2,,192,phaseB
1785140697,2026-07-27T08:24:57Z,67.68,3,2,,192,phaseB
1785140706,2026-07-27T08:25:06Z,67.68,3,2,,192,phaseB
1785140714,2026-07-27T08:25:14Z,67.68,3,2,,192,phaseB
1785140723,2026-07-27T08:25:23Z,67.68,3,2,,192,phaseB
1785140732,2026-07-27T08:25:32Z,67.68,3,2,,192,phaseB
1785140740,2026-07-27T08:25:40Z,67.68,3,2,,192,phaseB
1785140749,2026-07-27T08:25:49Z,68.22,3,2,,192,phaseB
1785140758,2026-07-27T08:25:58Z,67.68,3,2,,192,phaseB
1785140767,2026-07-27T08:26:07Z,67.68,3,2,,192,phaseB
1785140775,2026-07-27T08:26:15Z,67.68,3,2,,192,phaseB
1785140784,2026-07-27T08:26:24Z,67.68,3,2,,192,phaseB
1785140792,2026-07-27T08:26:32Z,68.22,3,2,,192,phaseB
1785140801,2026-07-27T08:26:41Z,67.68,3,2,,192,phaseB
1785140809,2026-07-27T08:26:49Z,68.76,3,2,,192,phaseB
